vertex,label
9,left_upper_lobe_primary_4
40,left_upper_lobe_primary_4
10,left_upper_lobe_primary_4
18,left_upper_lobe_primary_4
8,left_upper_lobe_primary_4
23,left_upper_lobe_primary_4
6,left_upper_lobe_primary_4
5,mediastinal_lymph_node_6
4,chest_wall
1,left_upper_lobe_primary_4
34,left_upper_lobe_primary_4
51,left_upper_lobe_primary_4
56,left_upper_lobe_primary_4
24,left_upper_lobe_primary_4
13,left_upper_lobe_primary_4
12,left_upper_lobe_primary_4
27,mediastinal_lymph_node_6
3,chest_wall
30_0,left_pleural_relapse
20,left_upper_lobe_primary_4
19,left_upper_lobe_primary_4
7,left_upper_lobe_primary_4
2_0,right_diaphragm_2
25,left_lower_lobe_3
32,abdominal_wall
46,mediastinal_lymph_node_6
16,left_upper_lobe_primary_4
11,left_upper_lobe_primary_4
14,left_upper_lobe_primary_4
15,left_upper_lobe_primary_4
35,left_lower_lobe_3
41,left_lower_lobe_3
45,left_lower_lobe_6
26,left_upper_lobe_primary_4
30_1,left_chest_wall_2
17,left_pleural_relapse
44_0,left_pleural_relapse
30_2,left_chest_wall_1
42,left_chest_wall_2
37,left_chest_wall_1
52,left_chest_wall_1
44_1,ascending_aorta_nodule
21,ascending_aorta_nodule
2_1,greater_curve_lymph_node
2_2,omental_mass
2_3,pericardium_3
2_4,mediastinal_lymph_node_7
2_5,left_kidney
2_6,peritoneal-mesentry_6
2_7,peritoneal-mesentry_11
2_8,peritoneal-mesentry_10
2_10,peritoneal-mesentry_7
2_11,pericardium_5
2_9,peritoneal-mesentry_3
47,greater_curve_lymph_node
28,peritoneal-mesentry_8
29,peritoneal-mesentry_4
33,peritoneal-mesentry_2
36,mediastinal_lymph_node_5
38,pericardium_4
43,peritoneal-mesentry_1
53,peritoneal-mesentry_9
54,right_ventricle
57,right_diaphragm_1
48,pericardium_5
dummy_root,left_upper_lobe_primary_4
