vertex,label
14,right_middle_lobe_primary_1
4,right_retroperitoneal_mass
22,right_middle_lobe_primary_1
20,liver_1
24,left_peritoneal-psoas_mass
49,liver_retroperitoneal_mass
17_0,left_upper_gastric_mass
1,right_middle_lobe_primary_1
57,liver_1
12,surgery_lymph_node_6
54,left_upper_gastric_mass
53,left_peritoneal-psoas_mass
30_0,left_peritoneal-psoas_mass
44_0,left_peritoneal-psoas_mass
46,left_upper_gastric_mass
16,left_upper_gastric_mass
8,left_upper_gastric_mass
37_0,right_retroperitoneal_mass
41,left_upper_gastric_mass
6_0,liver_retroperitoneal_mass
38,left_upper_gastric_mass
11_0,left_upper_gastric_mass
34,right_lung-diaphragm_mass
15,right_lung-diaphragm_mass
43,liver_retroperitoneal_mass
19,liver_retroperitoneal_mass
21,right_middle_lobe_primary_1
9,gastric_mass
23,gastric_mass
5,peritoneum_1
31,peritoneum_1
32,left_upper_gastric_mass
45,surgery_lymph_node_6
10,liver_surface
47,liver_surface
51,peritoneum_3
52,peritoneum_3
17_1,gastric_mass
17_2,peritoneum_1
17_3,left_upper_abdominal_mass
18_0,left_upper_gastric_mass
27_0,left_upper_gastric_mass
13,gastric_mass
33,left_upper_abdominal_mass
30_1,right_lung-diaphragm_mass
30_2,left_lower_lobe_5
26,left_lower_lobe_5
44_1,right_lung-diaphragm_mass
44_3,peritoneal_progression
44_7,peritoneum_1
44_8,peritoneum_3
44_2,liver_1
7_0,right_lung-diaphragm_mass
55_0,right_lung-diaphragm_mass
44_4,peritoneum_2
44_5,liver_retroperitoneal_mass
42,liver_1
35_0,liver_1
36,peritoneum_2
44_6,right_pleura_2
25,liver_retroperitoneal_mass
28,right_pleura_2
40,liver_subcapsular
37_1,right_lower_lobe_12
37_2,right_kidney_1
48,right_retroperitoneal_mass
50,right_retroperitoneal_mass
39,right_lower_lobe_12
29,right_kidney_1
56,right_kidney_1
6_1,left_peritoneal-psoas_mass
7_1,liver_1
11_1,left_peritoneal-psoas_mass
18_1,liver_1
27_1,liver_retroperitoneal_mass
35_1,liver_retroperitoneal_mass
55_1,liver_1
dummy_root,right_middle_lobe_primary_1
